CEI	HPT	0.977792
CEI	HRP	0.980949
CEI	LXP	0.986553
CEI	MAA	0.981499
CEI	MFA	0.972853
CEI	O	0.972146
CEI	PNP	0.985026
CEI	PSA	0.987772
CEI	PSB	0.989083
CEI	SFI	0.972571
CEI	SIZ	0.979860
CEI	SKT	0.975684
CEI	SNH	0.973194
CEI	SUI	0.974013
CEI	TCO	0.975110
CEI	TCR	0.982424
CEI	TCT	0.988680
CEI	TMA	0.974307
CEI	VNO	0.980007
CENT	UVV	0.974411
CENX	CGX	0.974535
CENX	FE	0.972370
CENX	ROV	0.974564
CENX	SUN	0.976763
CENX	TEX	0.970351
CFBX	BRL	-0.950224
CGI	ENR	0.972443
CGI	FSH	0.971816
CGX	SUN	0.977309
CHC	AMB	0.977261
CHC	AMC	0.976449
CHC	BDN	0.978307
CHC	BDWGP.PK	1.010078
CHC	BXP	0.982413
CHC	EPR	0.971186
CHC	FRT	0.972354
CHC	HPT	0.981756
CHC	HRP	0.970357
CHC	MAA	0.975154
CHC	PNP	0.982042
CHC	SKT	0.970243
CHC	SLG	0.980879
CHC	SNH	0.984784
CHC	SSS	0.976308
CHC	TMA	0.973175
CHC	UBA	0.992253
CHC	VNO	0.979003
CHH	BDG	0.970454
CHH	HZO	0.972815
CHH	LVB	0.973485
CHH	PBG	0.976268
CHH	TMK	0.979873
CHIR	AEOS	-0.952367
CHIR	AGY	-0.952424
CHIR	CIX	-0.962461
CHIR	JILL	-0.957399
CHTT	AET	0.971409
CHTT	AOC	0.977009
CHTT	BRO	0.975863
CHTT	DAL	-0.952221
CHTT	HLR	0.971890
CHTT	LVB	0.972619
CHTT	MCO	0.978090
CHTT	MON	0.977739
CHTT	NKE	0.970773
CHTT	OTL	0.970311
CHTT	SJM	0.970056
CHTT	TMK	0.975461
CHTT	VTS	0.975097
CHTT	WCC	0.977755
CIN	EIX	0.971220
CIX	AET	0.976868
CIX	BSH	-0.950275
CIX	FOB	-0.963443
CIX	HNT	-0.966134
CLF	TBI	0.984529
CLI	AMB	0.990288
CLI	AMC	1.010820
CLI	AML	0.987024
CLI	ARE	0.977458
CLI	ARI	0.992594
CLI	AVB	0.974834
CLI	BDN	0.996728
CLI	BDWGP.PK	1.062727
CLI	BED	0.991860
CLI	BFS	0.976341
CLI	BXP	0.991977
CLI	CBL	0.981754
CLI	CEI	0.975610
CLI	CHC	0.970985
CLI	EPR	0.983972
CLI	EQY	0.990233
CLI	FRT	0.988065
CLI	HOT	0.983689
CLI	HPT	0.982610
CLI	HRP	0.990413
CLI	HTG	0.988298
CLI	LRY	0.980877
CLI	LXP	0.983862
CLI	MAA	0.995604
CLI	MFA	0.973252
CLI	O	0.995035
CLI	PNP	0.985085
CLI	PSA	0.985531
CLI	PSB	0.984912
CLI	SFI	0.990709
CLI	SIZ	0.991783
CLI	SKT	0.990571
CLI	SLG	0.974787
CLI	SNH	0.974030
CLI	SSS	0.988657
CLI	SUI	0.989097
CLI	TCO	0.980273
CLI	TCR	0.973933
CLI	TCT	0.990933
CLI	TMA	0.992135
CLI	UBA	1.002473
CLI	VNO	0.992359
CLI	WRE	0.981855
CLP	AMB	0.976698
CLP	AMC	1.002376
CLP	AML	0.986928
CLP	ANL	0.970491
CLP	ARI	0.985344
CLP	BDN	0.978676
CLP	BDWGP.PK	1.093752
CLP	BED	0.982837
CLP	BFS	0.984547
CLP	BOY	0.984317
CLP	BRE	0.982097
CLP	CBL	0.987675
CLP	CEI	0.979237
CLP	CLI	0.980840
CLP	CMM	0.987238
CLP	EOP	0.988906
CLP	EQR	0.979919
CLP	EQY	0.980966
CLP	ESS	0.983807
CLP	HME	0.987136
CLP	HMT	0.976758
CLP	HTB	0.988921
CLP	HTG	0.982511
CLP	LXP	0.991074
CLP	MAA	0.981055
CLP	MFA	0.981088
CLP	MSW	0.981660
CLP	O	0.982412
CLP	PNP	0.979514
CLP	PPS	0.981226
CLP	PSA	0.976228
CLP	PSB	0.974215
CLP	RYN	0.970987
CLP	SFI	0.985628
CLP	SIZ	0.984166
CLP	SKT	0.981795
CLP	SMT	0.975292
CLP	SUI	0.986835
CLP	TCR	0.990522
CLP	TCT	0.989286
CLP	TMA	0.972701
CLP	UBA	0.981125
CLP	VNO	0.975899
CLP	WRE	0.983374
CLP	WXH	0.983635
CMCSK	CMCSA	1.012057
CMH	CBNC.PK	1.000054
CMM	BDWGP.PK	1.056057
CMO	HPT	0.976317
CMO	SNH	0.979907
CMX	BSH	-0.954108
CMX	HZO	0.970226
CMX	SIE	0.970273
CMX	TMK	0.980711
CMX	WLS	0.972219
CNA	BDX	0.974806
CNA	LTR	0.974404
CNCEQ.OB	CGO	0.999994
CNCEQ.OB	QTRN	-0.957234
CNMD	BDX	0.974201
CNMD	LTR	0.971128
CNMD	RST	0.973323
CNT	AMB	0.994760
CNT	AMC	0.994879
CNT	AML	0.978644
CNT	ARE	0.991451
CNT	ARI	0.990391
CNT	BDN	0.989942
CNT	BDWGP.PK	1.066580
CNT	BED	0.990986
CNT	BOY	0.979751
CNT	BXP	0.984844
CNT	CBL	0.987437
CNT	CEI	0.991486
CNT	CHC	0.971592
CNT	CLI	0.988096
CNT	CLP	0.987420
CNT	EGP	0.972227
CNT	EPR	0.972983
CNT	EQY	0.986009
CNT	FR	0.979963
CNT	FRT	0.976892
CNT	HMT	0.979970
CNT	HOT	0.975144
CNT	HPT	0.989214
CNT	HRP	0.988477
CNT	HTG	0.974093
CNT	LXP	0.989256
CNT	MAA	0.991647
CNT	MFA	0.970732
CNT	O	0.982458
CNT	PNP	0.991677
CNT	PSA	0.993412
CNT	PSB	0.991263
CNT	SFI	0.981413
CNT	SIZ	0.986951
CNT	SKT	0.987948
CNT	SNH	0.980332
CNT	SSS	0.981277
CNT	SUI	0.981201
CNT	TCO	0.981222
CNT	TCR	0.983466
CNT	TCT	0.993419
CNT	TMA	0.985635
CNT	UBA	0.982978
CNT	UDR	0.972527
CNT	VNO	0.991956
COLB	AOC	0.970837
COLB	MON	0.975814
COP	OXY	0.982608
COX	DGIT	0.977326
COX	TRAD	0.990452
CPG	AHR	0.972954
CPG	AKR	0.976112
CPG	AMB	0.985329
CPG	AMC	0.981374
CPG	ARE	0.977650
CPG	ARI	0.976581
CPG	BDN	0.986234
CPG	BDWGP.PK	1.014200
CPG	BED	0.982491
CPG	BXP	0.989467
CPG	CBL	0.971365
CPG	CHC	0.970746
CPG	CLI	0.984916
CPG	CNT	0.978181
CPG	EPR	0.993230
CPG	EQY	0.975186
CPG	FR	0.987765
CPG	FRT	0.990615
CPG	HPT	0.985752
CPG	HRP	0.989365
CPG	LRY	0.985832
CPG	MAA	0.989667
CPG	MAC	0.982289
CPG	MLS	0.989556
CPG	O	0.976842
CPG	PNP	0.978819
CPG	PSA	0.983538
CPG	PSB	0.972965
CPG	SIZ	0.971567
CPG	SKT	0.985075
CPG	SLG	0.981695
CPG	SNH	0.980065
CPG	SPG	0.984237
CPG	SSS	0.992982
CPG	TCO	0.982161
CPG	TMA	0.987648
CPG	UBA	0.979519
CPG	VNO	0.987693
CPRT	EIX	0.975891
CPRT	HDL	0.980462
CPRT	IGL	0.971542
CPRT	SGY	0.972669
CPRT	TBI	0.974512
CPT	AMB	0.974759
CPT	AMC	0.994711
CPT	AML	0.987042
CPT	ARE	0.972567
CPT	ARI	0.991238
CPT	BDN	0.977643
CPT	BDWGP.PK	1.084890
CPT	BED	0.988718
CPT	BFS	0.981937
CPT	BOY	0.982147
CPT	BRE	0.977684
CPT	CBL	0.981144
CPT	CEI	0.983583
CPT	CLI	0.982991
CPT	CLP	0.990489
CPT	CMM	0.979761
CPT	CNT	0.985072
CPT	EOP	0.985845
CPT	EQR	0.977037
CPT	EQY	0.977615
CPT	ESS	0.981711
CPT	HME	0.984084
CPT	HRP	0.972982
CPT	HTB	0.980832
CPT	HTG	0.981687
CPT	LXP	0.987562
CPT	MAA	0.980284
CPT	MFA	0.986313
CPT	MSW	0.977080
CPT	O	0.982727
CPT	PNP	0.975256
CPT	PPS	0.979989
CPT	PSA	0.981657
CPT	PSB	0.974683
CPT	SFI	0.986655
CPT	SIZ	0.985441
CPT	SKT	0.982912
CPT	SUI	0.984896
CPT	TCR	0.992159
CPT	TCT	0.987905
CPT	TMA	0.972358
CPT	UDR	0.990916
