name,symbol,quotedate,currentPrice,changeValue,changePercent,previousClose,open,volume,dayMinPrice,dayMaxPrice,priceToEarnings,marketCap,averageVolume,yearMinPrice,yearMaxPrice,dividendValue,earningsPerShare,dividendYield,currentPriceRank,changeValueRank,changePercentRank,volumeRank,priceToEarningsRank,marketCapRank,averageVolumeRank,yearMinPriceRank,yearMaxPriceRank,dividendValueRank,earningsPerShareRank,dividendYieldRank,currentPriceValue,changeValueValue,changePercentValue,volumeValue,priceToEarningsValue,marketCapValue,averageVolumeValue,yearMinPriceValue,yearMaxPriceValue,dividendValueValue,earningsPerShareValue,dividendYieldValue
COMPUTER PROGRAMS AND SYS,CPSI,2003-11-19 12:00:00.0,16.2700,0.0000,0.0000,16.2700,16.0300,3753.3300,15.8800,16.2700,21.2100,170600000.0000,42400.0000,14.0400,26.8500,0.3500,0.7700,2.0900,7.0000,7.0000,7.0000,10.0000,4.0000,9.0000,9.0000,5.0000,5.0000,4.0000,6.0000,3.0000,9.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,8.0000,8.0000,10.0000,10.0000,8.0000
INTELIDATA TECHNOLOGIES,INTD,2003-11-19 12:00:00.0,1.8000,0.0800,4.6500,1.7200,1.7100,26507.0000,1.6900,1.8300,0.0000,90240800.0000,116636.0000,0.5700,3.6000,0.0000,-0.0100,0.0000,10.0000,5.0000,1.0000,7.0000,9.0000,10.0000,7.0000,10.0000,10.0000,8.0000,8.0000,8.0000,10.0000,10.0000,3.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
PANTRY INC,PTRY,2003-11-19 12:00:00.0,20.9400,-0.9200,-4.2100,21.8600,21.9900,65777.6700,20.6100,21.9900,25.8400,379180512.0000,49409.0000,1.8300,22.5500,0.0000,0.7400,0.0000,6.0000,10.0000,10.0000,6.0000,3.0000,7.0000,9.0000,10.0000,6.0000,8.0000,6.0000,8.0000,8.0000,10.0000,10.0000,10.0000,8.0000,10.0000,10.0000,10.0000,8.0000,10.0000,10.0000,10.0000
PROVIDENT FINANCIAL SVCS,PFS,2003-11-19 12:00:00.0,19.8500,0.2100,1.0700,19.6400,19.6500,32000.0000,19.6500,19.9000,63.6200,1191641340.0000,174250.0000,14.8000,20.7700,0.2000,0.2400,1.0200,6.0000,3.0000,3.0000,7.0000,1.0000,4.0000,6.0000,5.0000,6.0000,4.0000,7.0000,4.0000,9.0000,10.0000,10.0000,10.0000,6.0000,10.0000,10.0000,8.0000,9.0000,10.0000,10.0000,10.0000
INTEL CORP,INTC,2003-11-19 12:00:00.0,32.0200,0.1800,0.5800,31.8400,31.9100,24089104.0000,31.5500,32.3700,46.5900,208943399000.0000,53320908.0000,14.8800,34.5100,0.0800,0.6900,0.2500,3.0000,3.0000,5.0000,1.0000,2.0000,1.0000,1.0000,5.0000,3.0000,5.0000,6.0000,5.0000,6.0000,10.0000,10.0000,1.0000,6.0000,2.0000,1.0000,8.0000,6.0000,10.0000,10.0000,10.0000
INTERACTIVE DATA COR,IDC,2003-11-19 12:00:00.0,16.9900,0.0900,0.5300,16.9000,16.9100,21600.0000,16.8900,16.9900,22.6000,1590155140.0000,111395.0000,12.7400,18.0000,0.0000,0.7500,0.0000,7.0000,5.0000,5.0000,8.0000,4.0000,3.0000,7.0000,6.0000,7.0000,8.0000,6.0000,8.0000,9.0000,10.0000,10.0000,10.0000,8.0000,10.0000,10.0000,9.0000,9.0000,10.0000,10.0000,10.0000
ARENA PHARMACEUTICAL,ARNA,2003-11-19 12:00:00.0,6.5700,-0.0300,-0.4500,6.6000,6.5200,9302.0000,6.5100,6.6600,0.0000,187699152.0000,65454.0000,6.0000,8.5700,0.0000,-1.4800,0.0000,9.0000,7.0000,8.0000,9.0000,9.0000,9.0000,8.0000,8.0000,9.0000,8.0000,10.0000,8.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
BARRA INC,BARZ,2003-11-19 12:00:00.0,36.7000,0.1000,0.2700,36.6000,36.6000,38847.3300,36.4000,37.0100,24.5400,710793790.0000,88595.0000,25.3300,42.9000,0.0000,1.5000,0.0000,3.0000,5.0000,6.0000,7.0000,3.0000,5.0000,8.0000,2.0000,2.0000,8.0000,3.0000,8.0000,5.0000,10.0000,10.0000,10.0000,8.0000,10.0000,10.0000,5.0000,4.0000,10.0000,10.0000,10.0000
ADVANCED DIGITAL INF,ADIC,2003-11-19 12:00:00.0,14.7500,-0.1900,-1.2700,14.9400,14.6700,221498.6600,14.5900,15.0000,166.4300,926311620.0000,728995.0600,5.6600,17.9900,0.0000,0.0900,0.0000,7.0000,9.0000,9.0000,3.0000,1.0000,5.0000,3.0000,8.0000,7.0000,8.0000,8.0000,8.0000,9.0000,10.0000,10.0000,9.0000,4.0000,10.0000,9.0000,10.0000,9.0000,10.0000,10.0000,10.0000
VERSO TECHNOLOGIES INC,VRSO,2003-11-19 12:00:00.0,3.5200,-0.0100,-0.2800,3.5300,3.5200,602913.6000,3.5000,3.7000,0.0000,411289984.0000,1969977.0000,0.3500,5.2200,0.0000,-0.1300,0.0000,10.0000,7.0000,8.0000,2.0000,9.0000,7.0000,1.0000,10.0000,10.0000,8.0000,8.0000,8.0000,10.0000,10.0000,10.0000,8.0000,10.0000,10.0000,7.0000,10.0000,10.0000,10.0000,10.0000,10.0000
VERISIGN INC,VRSN,2003-11-19 12:00:00.0,15.3700,0.4200,2.8100,14.9500,15.3500,1950168.8000,15.1100,15.5500,0.0000,3705669120.0000,3180318.0000,6.5500,17.5500,0.0000,-1.1100,0.0000,7.0000,2.0000,1.0000,1.0000,9.0000,2.0000,1.0000,8.0000,7.0000,8.0000,10.0000,8.0000,9.0000,10.0000,8.0000,6.0000,10.0000,9.0000,6.0000,10.0000,9.0000,10.0000,10.0000,10.0000
FOSSIL INC,FOSL,2003-11-19 12:00:00.0,29.3500,0.4500,1.5600,28.9000,29.0400,126802.0000,28.9100,29.4100,22.8300,1369217150.0000,236745.0000,15.9500,29.8200,0.0000,1.2900,0.0000,4.0000,1.0000,2.0000,4.0000,4.0000,4.0000,5.0000,5.0000,4.0000,8.0000,4.0000,8.0000,6.0000,10.0000,10.0000,10.0000,8.0000,10.0000,10.0000,8.0000,7.0000,10.0000,10.0000,10.0000
NASH FINCH CO,NAFC,2003-11-19 12:00:00.0,18.1900,0.3300,2.0200,17.8800,18.0000,7840.0000,18.0000,18.4900,7.2700,220129776.0000,57472.5000,4.0100,19.0000,0.3600,2.5000,1.9400,6.0000,2.0000,2.0000,9.0000,8.0000,9.0000,8.0000,9.0000,7.0000,4.0000,2.0000,3.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,9.0000,10.0000,7.0000,8.0000
INSITUFORM TECHNOLOGIES,INSU,2003-11-19 12:00:00.0,15.0900,0.2800,1.8700,14.8100,14.8100,25550.0000,14.7000,15.1100,17.1400,399060096.0000,164545.0000,12.1100,20.1800,0.0000,0.8800,0.0000,7.0000,2.0000,2.0000,7.0000,5.0000,7.0000,6.0000,6.0000,7.0000,8.0000,5.0000,8.0000,9.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,9.0000,9.0000,10.0000,10.0000,10.0000
GILEAD SCIENCES INC,GILD,2003-11-19 12:00:00.0,55.0700,1.1100,2.0600,53.9600,54.1300,1663633.2000,53.9000,55.2600,50.5000,11134215200.0000,4243590.0000,31.2400,70.6100,0.0000,-0.0800,0.0000,1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,1.0000,2.0000,1.0000,8.0000,8.0000,8.0000,2.0000,3.0000,10.0000,7.0000,6.0000,7.0000,5.0000,4.0000,2.0000,10.0000,10.0000,10.0000
CIPHERGEN BIOSYSTEMS,CIPH,2003-11-19 12:00:00.0,10.2400,-0.0100,-0.1000,10.2500,10.2800,65800.6700,10.2000,10.2900,0.0000,295130304.0000,270800.0000,2.9600,13.9700,0.0000,-1.2900,0.0000,9.0000,7.0000,7.0000,6.0000,9.0000,8.0000,5.0000,9.0000,8.0000,8.0000,10.0000,8.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
COPART INC,CPRT,2003-11-19 12:00:00.0,11.9300,0.0900,0.7300,11.8400,11.8600,161566.6700,11.7700,12.0800,19.1900,1059659200.0000,474431.5300,6.9900,13.2700,0.0000,0.6200,0.0000,8.0000,5.0000,4.0000,4.0000,5.0000,4.0000,4.0000,8.0000,8.0000,8.0000,6.0000,8.0000,10.0000,10.0000,10.0000,10.0000,9.0000,10.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000
