name,symbol,quotedate,currentPrice,changeValue,changePercent,previousClose,open,volume,dayMinPrice,dayMaxPrice,priceToEarnings,marketCap,averageVolume,yearMinPrice,yearMaxPrice,dividendValue,earningsPerShare,dividendYield,currentPriceRank,changeValueRank,changePercentRank,volumeRank,priceToEarningsRank,marketCapRank,averageVolumeRank,yearMinPriceRank,yearMaxPriceRank,dividendValueRank,earningsPerShareRank,dividendYieldRank,currentPriceValue,changeValueValue,changePercentValue,volumeValue,priceToEarningsValue,marketCapValue,averageVolumeValue,yearMinPriceValue,yearMaxPriceValue,dividendValueValue,earningsPerShareValue,dividendYieldValue
OCULAR SCIENCES INC,OCLR,2003-11-19 12:00:00.0,27.0000,-0.1500,-0.5500,27.1500,26.9500,8736.0000,26.9000,27.0500,0.0000,643490300.0000,65768.0000,11.6900,28.7800,0.0000,-0.1800,0.0000,4.0000,9.0000,8.0000,9.0000,10.0000,6.0000,8.0000,6.0000,5.0000,9.0000,8.0000,9.0000,7.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,9.0000,7.0000,10.0000,10.0000,10.0000
SCHOLASTIC CORP,SCHL,2003-11-19 12:00:00.0,32.9500,0.0500,0.1500,32.9000,33.0000,63548.0000,32.7400,33.0000,17.0900,1260408960.0000,312436.0000,22.7000,47.0000,0.0000,1.7700,0.0000,3.0000,6.0000,6.0000,6.0000,5.0000,4.0000,5.0000,3.0000,2.0000,9.0000,3.0000,9.0000,6.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,6.0000,4.0000,10.0000,10.0000,10.0000
CONMED CORP,CNMD,2003-11-19 12:00:00.0,20.0000,0.2200,1.1100,19.7800,19.6800,69531.0000,19.6700,20.2400,20.6900,580080000.0000,127495.0000,13.0200,22.1300,0.0000,1.0400,0.0000,6.0000,3.0000,3.0000,5.0000,4.0000,6.0000,7.0000,6.0000,6.0000,9.0000,5.0000,9.0000,9.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,9.0000,9.0000,10.0000,10.0000,10.0000
CLARK INC,CLK,2003-11-19 12:00:00.0,16.0000,-0.2500,-1.5400,16.2500,16.2000,21900.0000,15.6700,16.2000,16.2800,296435328.0000,65713.5000,10.4000,20.1500,0.0000,0.9800,0.0000,7.0000,9.0000,10.0000,8.0000,6.0000,8.0000,8.0000,6.0000,7.0000,9.0000,5.0000,9.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,9.0000,9.0000,10.0000,10.0000,10.0000
ELECTRO RENT CORP,ELRC,2003-11-19 12:00:00.0,13.3000,-0.1900,-1.4100,13.4900,13.4600,18109.0000,13.2500,13.7800,0.0000,330167488.0000,28500.0000,8.5000,15.1500,0.0000,-0.6100,0.0000,8.0000,9.0000,9.0000,8.0000,10.0000,8.0000,9.0000,7.0000,8.0000,9.0000,9.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
ABC BANCORP,ABCB,2003-11-19 12:00:00.0,16.3900,0.3300,2.0400,16.0600,16.1100,1842.0000,16.0300,16.3900,14.3900,160066832.0000,9631.5000,12.5300,17.6500,0.5600,1.1400,3.4600,7.0000,2.0000,2.0000,10.0000,7.0000,9.0000,10.0000,6.0000,7.0000,3.0000,5.0000,1.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,9.0000,9.0000,9.0000,10.0000,5.0000
INSPIRE PHARMACEUTICALS,ISPH,2003-11-19 12:00:00.0,17.6400,0.1200,0.6800,17.5200,17.4600,42984.0000,17.4600,18.1400,0.0000,561659200.0000,203045.0000,5.5000,21.3700,0.0000,-1.0800,0.0000,7.0000,4.0000,4.0000,7.0000,10.0000,6.0000,6.0000,8.0000,6.0000,9.0000,10.0000,9.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,10.0000
JANUS CAPITAL GROUP INC,JNS,2003-11-19 12:00:00.0,13.5500,-0.3000,-2.1700,13.8500,13.7700,731800.0000,13.5500,13.8000,16.9000,3254040580.0000,2488022.5000,9.4600,19.0000,0.1000,0.7800,0.3000,8.0000,10.0000,10.0000,2.0000,5.0000,2.0000,1.0000,7.0000,7.0000,5.0000,6.0000,5.0000,10.0000,10.0000,10.0000,8.0000,9.0000,9.0000,6.0000,9.0000,9.0000,10.0000,10.0000,10.0000
KENDLE INTERNATIONAL,KNDL,2003-11-19 12:00:00.0,6.2900,0.1800,2.9500,6.1100,6.4600,2650.0000,6.0900,6.4600,0.0000,81408392.0000,29359.0000,3.0500,10.1000,0.0000,-4.7300,0.0000,9.0000,3.0000,1.0000,10.0000,10.0000,10.0000,9.0000,9.0000,9.0000,9.0000,10.0000,9.0000,10.0000,10.0000,8.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
URSTADT BIDDLE PPTYS INS,UBP,2003-11-19 12:00:00.0,13.5100,0.0000,0.0000,13.5100,0.0000,0.0000,0.0000,13.5100,18.2600,89944720.0000,4410.0000,11.1400,13.8900,0.7600,0.6900,5.6300,8.0000,7.0000,7.0000,10.0000,5.0000,10.0000,10.0000,6.0000,8.0000,2.0000,6.0000,1.0000,10.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,9.0000,10.0000,7.0000,10.0000,3.0000
ILLUMINA INC,ILMN,2003-11-19 12:00:00.0,6.2600,-0.0100,-0.1600,6.2700,6.3200,11900.0000,6.2400,6.3200,0.0000,205640320.0000,71227.0000,1.7100,6.9000,0.0000,-0.9600,0.0000,10.0000,7.0000,7.0000,8.0000,10.0000,9.0000,8.0000,10.0000,10.0000,9.0000,10.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
DREXLER TECHNOLOGY CORP,DRXR,2003-11-19 12:00:00.0,14.3400,0.6600,4.8200,13.6800,13.6300,15922.0000,13.6300,14.3800,0.0000,151416224.0000,108863.5000,11.6100,22.2500,0.0000,-0.2800,0.0000,7.0000,1.0000,1.0000,8.0000,10.0000,10.0000,7.0000,6.0000,6.0000,9.0000,9.0000,9.0000,10.0000,7.0000,3.0000,10.0000,10.0000,10.0000,10.0000,9.0000,9.0000,10.0000,10.0000,10.0000
BLUE RHINO CORP,RINO,2003-11-19 12:00:00.0,12.0500,0.0100,0.0800,12.0400,12.0100,74625.0000,11.9700,12.1000,14.2500,215085440.0000,245545.0000,9.0800,20.7500,0.0000,0.8500,0.0000,8.0000,7.0000,6.0000,5.0000,7.0000,9.0000,5.0000,7.0000,7.0000,9.0000,6.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,10.0000
URSTADT BIDDLE PPTYS INS,UBA,2003-11-19 12:00:00.0,14.1600,0.2100,1.5100,13.9500,14.0000,20000.0000,13.9900,14.2000,17.0600,92507280.0000,31950.0000,10.8000,14.3500,0.8400,0.7200,5.9800,7.0000,3.0000,2.0000,8.0000,5.0000,10.0000,9.0000,6.0000,8.0000,2.0000,6.0000,1.0000,10.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,9.0000,10.0000,7.0000,10.0000,3.0000
ESS TECHNOLOGY INC,ESST,2003-11-19 12:00:00.0,15.6700,0.1700,1.1000,15.5000,15.4500,112038.0000,15.4500,15.8500,36.0500,605929220.0000,699909.0000,5.1500,17.9100,0.0000,0.4300,0.0000,7.0000,4.0000,3.0000,5.0000,2.0000,6.0000,3.0000,8.0000,7.0000,9.0000,7.0000,9.0000,9.0000,10.0000,10.0000,10.0000,7.0000,10.0000,9.0000,10.0000,9.0000,10.0000,10.0000,10.0000
MATTHEWS INTL CORP,MATW,2003-11-19 12:00:00.0,28.2600,0.2200,0.7800,28.0400,27.8700,21007.0000,27.6500,28.5500,20.3300,910931010.0000,60163.5000,20.9400,29.0000,0.1600,1.3900,0.5700,4.0000,3.0000,4.0000,8.0000,4.0000,5.0000,8.0000,3.0000,5.0000,5.0000,4.0000,5.0000,7.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,6.0000,7.0000,10.0000,10.0000,10.0000
CUNO INC,CUNO,2003-11-19 12:00:00.0,40.7100,0.4400,1.0900,40.2700,40.0100,9228.6700,40.0100,40.9000,26.9800,681119620.0000,70800.0000,29.9000,42.3500,0.0000,1.5100,0.0000,2.0000,1.0000,3.0000,9.0000,3.0000,5.0000,8.0000,2.0000,2.0000,9.0000,3.0000,9.0000,4.0000,10.0000,10.0000,10.0000,8.0000,10.0000,10.0000,4.0000,4.0000,10.0000,10.0000,10.0000
MATRIA HEALTHCARE INC,MATR,2003-11-19 12:00:00.0,17.4700,0.1000,0.5500,17.3700,17.3600,8774.6700,17.3400,17.5500,0.0000,177461712.0000,54050.0000,6.2500,22.4400,0.0000,-1.1400,0.0000,7.0000,5.0000,5.0000,9.0000,10.0000,9.0000,8.0000,8.0000,6.0000,9.0000,10.0000,9.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,10.0000
PARKERVISION INC,PRKR,2003-11-19 12:00:00.0,8.4900,-0.3100,-3.5100,8.8000,8.8500,11305.0000,8.2000,8.9900,0.0000,131569840.0000,23272.0000,4.0800,12.5000,0.0000,-1.4300,0.0000,9.0000,10.0000,10.0000,9.0000,10.0000,10.0000,9.0000,9.0000,9.0000,9.0000,10.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
RESOURCES BANKSHARES,RBKV,2003-11-19 12:00:00.0,30.1900,0.0800,0.2700,30.1100,30.1000,3131.0000,30.1000,30.3900,16.2000,181107520.0000,24300.0000,13.1800,31.1700,0.4400,1.8700,1.4600,4.0000,5.0000,6.0000,10.0000,6.0000,9.0000,9.0000,5.0000,4.0000,3.0000,3.0000,3.0000,6.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,9.0000,7.0000,9.0000,9.0000,9.0000
COMCAST CORP,CMCSK,2003-11-19 12:00:00.0,29.8100,0.3400,1.1500,29.4700,29.3000,2210315.8000,29.2300,30.0100,0.0000,26374039600.0000,5372234.0000,19.7600,32.9500,0.0000,-0.4000,0.0000,4.0000,2.0000,3.0000,1.0000,10.0000,1.0000,1.0000,4.0000,4.0000,9.0000,9.0000,9.0000,6.0000,10.0000,10.0000,6.0000,10.0000,6.0000,5.0000,7.0000,6.0000,10.0000,10.0000,10.0000
MILLER HERMAN INC,MLHR,2003-11-19 12:00:00.0,25.5600,-0.0500,-0.2000,25.6100,25.5800,100490.0000,25.5000,25.7200,97.5700,1861227140.0000,222877.0000,15.1700,25.7200,0.1500,0.2600,0.5700,5.0000,8.0000,7.0000,5.0000,1.0000,3.0000,6.0000,5.0000,5.0000,5.0000,7.0000,5.0000,7.0000,10.0000,10.0000,10.0000,5.0000,9.0000,10.0000,8.0000,8.0000,10.0000,10.0000,10.0000
PDF SOLUTIONS INC,PDFS,2003-11-19 12:00:00.0,12.0000,-0.0500,-0.4100,12.0500,12.0000,5400.0000,12.0000,12.1100,0.0000,278918656.0000,72654.5000,5.1000,14.4600,0.0000,-0.1800,0.0000,8.0000,8.0000,8.0000,9.0000,10.0000,8.0000,8.0000,8.0000,8.0000,9.0000,8.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
MARTEK BIOSCIENCES C,MATK,2003-11-19 12:00:00.0,56.8400,1.5400,2.7800,55.3000,55.3100,259149.0200,55.2200,57.1500,149.7700,1568609410.0000,505836.0000,16.5000,58.5500,0.0000,0.4000,0.0000,1.0000,1.0000,1.0000,3.0000,1.0000,3.0000,4.0000,4.0000,1.0000,9.0000,7.0000,9.0000,2.0000,2.0000,8.0000,9.0000,4.0000,10.0000,9.0000,8.0000,2.0000,10.0000,10.0000,10.0000
F5 NETWORKS INC,FFIV,2003-11-19 12:00:00.0,23.8700,-0.2800,-1.1700,24.1500,24.2900,380251.7000,23.5300,24.3500,165.1100,657738880.0000,667681.0000,10.2600,27.4500,0.0000,0.1400,0.0000,5.0000,9.0000,9.0000,2.0000,1.0000,6.0000,3.0000,6.0000,5.0000,9.0000,8.0000,9.0000,8.0000,10.0000,10.0000,9.0000,4.0000,10.0000,9.0000,9.0000,7.0000,10.0000,10.0000,10.0000
APOLLO GRP UNIV PHOE,UOPX,2003-11-19 12:00:00.0,69.9100,0.2600,0.3700,69.6500,69.9500,34010.0000,69.2000,70.4300,75.1700,1091661310.0000,245995.0000,32.6100,75.2500,0.0000,0.8200,0.0000,1.0000,3.0000,5.0000,7.0000,1.0000,4.0000,5.0000,1.0000,1.0000,9.0000,6.0000,9.0000,2.0000,10.0000,10.0000,10.0000,6.0000,10.0000,10.0000,3.0000,2.0000,10.0000,10.0000,10.0000
QUEST SOFTWARE INC,QSFT,2003-11-19 12:00:00.0,14.0000,-0.0300,-0.1900,14.0300,14.0700,108519.3300,13.9100,14.1200,91.8300,1299216000.0000,1220522.5000,8.5000,16.1400,0.0000,0.1500,0.0000,8.0000,7.0000,7.0000,5.0000,1.0000,4.0000,2.0000,7.0000,8.0000,9.0000,8.0000,9.0000,10.0000,10.0000,10.0000,10.0000,5.0000,10.0000,8.0000,10.0000,10.0000,10.0000,10.0000,10.0000
WASHINGTON FED INC,WFSL,2003-11-19 12:00:00.0,27.5700,-0.2000,-0.7200,27.7700,27.7900,59966.0000,27.5300,27.7900,13.2900,1947301500.0000,283900.0000,20.7000,28.0800,0.8800,2.0700,3.1800,4.0000,9.0000,9.0000,6.0000,7.0000,3.0000,5.0000,3.0000,5.0000,2.0000,2.0000,2.0000,7.0000,10.0000,10.0000,10.0000,10.0000,9.0000,10.0000,6.0000,7.0000,7.0000,8.0000,6.0000
COMCAST CORP,CMCSA,2003-11-19 12:00:00.0,31.0900,0.3300,1.0600,30.7600,30.5000,2678226.0000,30.4200,31.3500,0.0000,42165510000.0000,6824909.0000,21.8500,34.8500,0.0000,-0.1900,0.0000,3.0000,2.0000,3.0000,1.0000,10.0000,1.0000,1.0000,3.0000,3.0000,9.0000,8.0000,9.0000,6.0000,10.0000,10.0000,6.0000,10.0000,5.0000,4.0000,6.0000,6.0000,10.0000,10.0000,10.0000
WFS FINL INC,WFSI,2003-11-19 12:00:00.0,38.4800,-0.0600,-0.1600,38.5400,38.3200,26178.0000,37.7900,38.6400,10.4100,1579547390.0000,45663.5000,16.5400,45.2900,0.0000,3.7000,0.0000,2.0000,8.0000,7.0000,7.0000,8.0000,3.0000,9.0000,4.0000,2.0000,9.0000,1.0000,9.0000,5.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,8.0000,4.0000,10.0000,4.0000,10.0000
FIRST CTZNS BANCSHS,FCNCA,2003-11-19 12:00:00.0,108.8000,-0.5400,-0.4900,109.3400,109.0100,2987.0000,108.8000,109.1100,14.5100,952544380.0000,6677.0000,89.5100,124.1900,1.1100,7.5000,1.0100,1.0000,10.0000,8.0000,10.0000,7.0000,5.0000,10.0000,1.0000,1.0000,1.0000,1.0000,4.0000,1.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,1.0000,1.0000,5.0000,2.0000,10.0000
UNITED SEC BANCSHARES DE,USBI,2003-11-19 12:00:00.0,29.4800,0.0200,0.0700,29.4600,29.6000,2400.0000,29.2100,29.6000,18.9200,189614672.0000,4422.5000,14.3800,33.6400,0.6800,1.5600,2.3100,4.0000,6.0000,6.0000,10.0000,5.0000,9.0000,10.0000,5.0000,4.0000,2.0000,3.0000,2.0000,6.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,8.0000,6.0000,8.0000,10.0000,8.0000
SANFILIPPO JOHN B & SON,JBSS,2003-11-19 12:00:00.0,36.7500,-0.7900,-1.9700,37.5400,36.9400,92240.3300,35.9600,37.8400,16.7800,208331200.0000,98954.0000,8.8700,40.3000,0.0000,2.1900,0.0000,3.0000,10.0000,10.0000,5.0000,5.0000,9.0000,7.0000,7.0000,3.0000,9.0000,2.0000,9.0000,5.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,10.0000,5.0000,10.0000,8.0000,10.0000
WEST COAST BANCORP O,WCBO,2003-11-19 12:00:00.0,21.3600,0.3600,1.7100,21.0000,21.0000,2640.0000,21.0000,21.3600,17.2100,324159904.0000,24000.0000,14.0100,22.0500,0.3500,1.2400,1.6100,6.0000,2.0000,2.0000,10.0000,5.0000,8.0000,9.0000,5.0000,6.0000,4.0000,4.0000,3.0000,8.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,8.0000,9.0000,10.0000,10.0000,9.0000
FIRST FINL BANKSHARE,FFIN,2003-11-19 12:00:00.0,39.7700,0.0400,0.0900,39.7400,39.7300,7698.0000,39.7300,40.8700,17.4500,615453500.0000,12786.0000,27.2700,43.8300,1.2400,2.2800,3.1200,2.0000,6.0000,6.0000,9.0000,5.0000,6.0000,10.0000,2.0000,2.0000,1.0000,2.0000,2.0000,4.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,5.0000,4.0000,5.0000,7.0000,6.0000
SEACOAST FINL SVCS C,SCFS,2003-11-19 12:00:00.0,25.5300,0.5800,2.3200,24.9500,24.8500,36815.0000,24.8500,25.7000,20.9800,661399420.0000,101750.0000,17.3200,27.0000,0.5200,1.2200,2.0600,5.0000,1.0000,1.0000,7.0000,4.0000,6.0000,7.0000,4.0000,5.0000,3.0000,4.0000,3.0000,7.0000,9.0000,10.0000,10.0000,9.0000,10.0000,10.0000,7.0000,8.0000,9.0000,10.0000,8.0000
ALTERA CORP,ALTR,2003-11-19 12:00:00.0,23.0700,-0.0700,-0.3200,23.1400,23.2600,4549584.5000,22.9000,23.4000,65.7800,8762084400.0000,8582022.0000,10.3000,23.6700,0.0000,0.3500,0.0000,5.0000,8.0000,8.0000,1.0000,1.0000,1.0000,1.0000,6.0000,6.0000,9.0000,7.0000,9.0000,8.0000,10.0000,10.0000,4.0000,6.0000,8.0000,4.0000,9.0000,8.0000,10.0000,10.0000,10.0000
EXPRESS SCRIPTS INC,ESRX,2003-11-19 12:00:00.0,62.7400,-0.0600,-0.0900,62.8000,62.9400,244790.6600,62.3500,62.9400,20.6400,4929438700.0000,1814954.5000,45.8300,75.4500,0.0000,3.0400,0.0000,1.0000,8.0000,7.0000,3.0000,4.0000,2.0000,2.0000,1.0000,1.0000,9.0000,1.0000,9.0000,2.0000,10.0000,10.0000,9.0000,9.0000,8.0000,7.0000,2.0000,2.0000,10.0000,5.0000,10.0000
FREEMARKETS INC,FMKT,2003-11-19 12:00:00.0,5.7400,0.0300,0.5300,5.7100,5.7700,97038.6700,5.6100,5.8300,0.0000,243608528.0000,686963.5000,3.5000,9.8600,0.0000,-0.5400,0.0000,10.0000,6.0000,5.0000,5.0000,10.0000,8.0000,3.0000,9.0000,9.0000,9.0000,9.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000
FLUSHING FINL CORP,FFIC,2003-11-19 12:00:00.0,28.0400,0.0400,0.1400,28.0000,28.1800,33550.0000,28.0000,28.2200,15.9200,357539360.0000,26731.5000,16.0400,28.2500,0.4400,1.7600,1.5700,4.0000,6.0000,6.0000,7.0000,6.0000,7.0000,9.0000,5.0000,5.0000,3.0000,3.0000,3.0000,7.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,8.0000,7.0000,9.0000,10.0000,9.0000
ALLOS THERAPEUTICS INC,ALTH,2003-11-19 12:00:00.0,2.8500,0.0400,1.3900,2.8100,2.8000,78025.0000,2.7900,2.8800,0.0000,73847832.0000,356300.0000,1.6600,8.2100,0.0000,-1.2500,0.0000,10.0000,6.0000,3.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,9.0000,10.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
AMBASSADORS GROUP INC,EPAX,2003-11-19 12:00:00.0,19.5900,0.0400,0.2000,19.5500,19.5000,2000.0000,19.4000,19.5900,19.1600,194829440.0000,10781.5000,11.6400,19.8300,0.4400,1.0200,2.2500,6.0000,6.0000,6.0000,10.0000,5.0000,9.0000,10.0000,6.0000,7.0000,3.0000,5.0000,2.0000,9.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,9.0000,9.0000,9.0000,10.0000,8.0000
NPS PHARMACEUTICALS,NPSP,2003-11-19 12:00:00.0,26.4100,-0.0200,-0.0900,26.4300,26.4700,177558.0000,26.2600,27.0100,0.0000,973377920.0000,773759.0600,15.0000,33.3600,0.0000,-4.1700,0.0000,4.0000,7.0000,7.0000,4.0000,10.0000,5.0000,3.0000,5.0000,4.0000,9.0000,10.0000,9.0000,7.0000,10.0000,10.0000,10.0000,10.0000,10.0000,9.0000,8.0000,6.0000,10.0000,10.0000,10.0000
A S V INC,ASVI,2003-11-19 12:00:00.0,25.2800,-0.2700,-1.0400,25.5500,25.5300,30172.3300,25.2400,25.7000,41.6800,259702048.0000,55045.0000,7.5100,26.4200,0.0000,0.6100,0.0000,5.0000,9.0000,9.0000,7.0000,2.0000,8.0000,8.0000,7.0000,5.0000,9.0000,6.0000,9.0000,7.0000,10.0000,10.0000,10.0000,7.0000,10.0000,10.0000,10.0000,8.0000,10.0000,10.0000,10.0000
NEOSE TECHNOLOGIES I,NTEC,2003-11-19 12:00:00.0,8.2200,0.0300,0.3800,8.1900,8.3000,25285.0000,8.1100,8.6000,0.0000,163887808.0000,55863.0000,6.0300,14.0000,0.0000,-2.1000,0.0000,9.0000,6.0000,5.0000,7.0000,10.0000,9.0000,8.0000,8.0000,8.0000,9.0000,10.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
DENTSPLY INTL INC NE,XRAY,2003-11-19 12:00:00.0,42.4400,-0.1000,-0.2400,42.5400,42.5000,162262.0000,42.0300,42.5700,20.5100,3357431300.0000,396431.5300,31.8900,47.4000,0.2100,2.0700,0.4900,2.0000,8.0000,7.0000,4.0000,4.0000,2.0000,4.0000,1.0000,2.0000,4.0000,2.0000,5.0000,4.0000,10.0000,10.0000,10.0000,9.0000,9.0000,10.0000,4.0000,4.0000,10.0000,8.0000,10.0000
MASSBANK CORP READ MASS,MASB,2003-11-19 12:00:00.0,40.8700,0.1000,0.2500,40.7700,40.7900,2200.0000,40.7900,41.7500,22.6000,179145136.0000,4118.0000,27.3000,43.4800,0.9200,1.8100,2.2600,2.0000,5.0000,6.0000,10.0000,4.0000,9.0000,10.0000,2.0000,2.0000,2.0000,3.0000,2.0000,4.0000,10.0000,10.0000,10.0000,8.0000,10.0000,10.0000,5.0000,4.0000,6.0000,9.0000,8.0000
MEDAREX INC,MEDX,2003-11-19 12:00:00.0,6.5300,0.1600,2.4600,6.3700,6.3700,619930.7000,6.3200,6.5800,0.0000,508606720.0000,1231681.5000,2.6900,7.6700,0.0000,-1.6800,0.0000,9.0000,4.0000,1.0000,2.0000,10.0000,6.0000,2.0000,9.0000,10.0000,9.0000,10.0000,9.0000,10.0000,10.0000,9.0000,8.0000,10.0000,10.0000,8.0000,10.0000,10.0000,10.0000,10.0000,10.0000
NORTH PITTSBURGH SYS,NPSI,2003-11-19 12:00:00.0,17.6600,0.0700,0.4000,17.5900,17.5000,9500.0000,17.4900,18.0000,20.2900,264989408.0000,14709.0000,12.2500,19.2500,0.6800,0.8700,3.8600,7.0000,5.0000,5.0000,9.0000,4.0000,8.0000,10.0000,6.0000,7.0000,2.0000,5.0000,1.0000,9.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,9.0000,9.0000,8.0000,10.0000,5.0000
ECHELON CORP,ELON,2003-11-19 12:00:00.0,11.9000,0.1000,0.8200,11.8000,11.8100,55772.6700,11.7400,12.1000,80.0300,478148224.0000,160045.0000,9.1500,18.7300,0.0000,0.1500,0.0000,8.0000,5.0000,4.0000,6.0000,1.0000,6.0000,6.0000,7.0000,7.0000,9.0000,8.0000,9.0000,10.0000,10.0000,10.0000,10.0000,5.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,10.0000
CIT GROUP INC,CIT,2003-11-19 12:00:00.0,32.8700,0.5500,1.7000,32.3200,32.4500,276000.0000,32.3700,32.8700,12.6100,7012899300.0000,1135204.5000,16.0800,33.9900,0.4800,2.6100,1.4800,3.0000,1.0000,2.0000,3.0000,7.0000,1.0000,2.0000,5.0000,4.0000,3.0000,2.0000,3.0000,6.0000,9.0000,10.0000,9.0000,10.0000,8.0000,8.0000,8.0000,6.0000,9.0000,6.0000,9.0000
BEARINGPOINT INC,BE,2003-11-19 12:00:00.0,8.4300,-0.0400,-0.4700,8.4700,8.4000,203500.0000,8.4000,8.5800,0.0000,1639726590.0000,1480000.0000,5.7800,11.2500,0.0000,-0.0300,0.0000,9.0000,7.0000,8.0000,3.0000,10.0000,3.0000,2.0000,8.0000,9.0000,9.0000,8.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,8.0000,10.0000,10.0000,10.0000,10.0000,10.0000
MEDSOURCE TECHNOLOGIES,MEDT,2003-11-19 12:00:00.0,4.3000,-0.0200,-0.4600,4.3200,4.2900,12450.0000,4.1800,4.3100,0.0000,123951520.0000,121700.0000,1.4600,9.0900,0.0000,-1.3200,0.0000,10.0000,7.0000,8.0000,8.0000,10.0000,10.0000,7.0000,10.0000,9.0000,9.0000,10.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
MEDQUIST INC,MEDQ,2003-11-19 12:00:00.0,15.4900,-0.0300,-0.1900,15.5200,15.6900,5200.0000,15.3100,15.6900,14.4800,576392450.0000,40772.0000,14.6900,21.0000,0.0000,1.0700,0.0000,7.0000,7.0000,7.0000,9.0000,7.0000,6.0000,9.0000,5.0000,6.0000,9.0000,5.0000,9.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,8.0000,9.0000,10.0000,10.0000,10.0000
ALASKA COMMUNICATION,ALSK,2003-11-19 12:00:00.0,5.0500,0.1000,2.0200,4.9500,5.0500,200.0000,5.0500,5.0500,0.0000,149704416.0000,34904.5000,1.6000,5.4700,0.0000,-1.8800,0.0000,10.0000,5.0000,2.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,9.0000,10.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
MEDIMMUNE INC,MEDI,2003-11-19 12:00:00.0,23.9800,-0.5200,-2.1100,24.5000,24.3000,4152079.2000,23.9400,24.4700,31.8500,5957022700.0000,5579409.0000,23.3000,42.0900,0.0000,0.7500,0.0000,5.0000,10.0000,10.0000,1.0000,2.0000,2.0000,1.0000,3.0000,2.0000,9.0000,6.0000,9.0000,8.0000,10.0000,10.0000,5.0000,7.0000,8.0000,5.0000,6.0000,4.0000,10.0000,10.0000,10.0000
ALDERWOODS GROUP INC,AWGI,2003-11-19 12:00:00.0,8.0800,0.0300,0.3800,8.0500,7.9600,12830.6700,7.9500,8.3000,17.0300,323002624.0000,171363.0000,3.0700,10.5200,0.0000,0.2000,0.0000,9.0000,6.0000,5.0000,8.0000,5.0000,8.0000,6.0000,9.0000,9.0000,9.0000,7.0000,9.0000,10.0000,10.0000,10.0000,10.0000,9.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000,10.0000
